src_ip protocol fwd_pkt_len_var
16777343 17 76356.6638
16777343 17 76169.4652
16777343 17 75983.1719
16777343 17 75797.7774
16777343 17 75613.2753
16777343 17 75429.6591
16777343 17 75246.9228
16777343 17 75065.0600
16777343 17 74884.0646
16777343 17 74703.9304
16777343 17 74524.6515
16777343 17 74346.2218
16777343 17 74168.6354
16777343 17 73991.8863
16777343 17 73815.9689
16777343 17 73640.8772
16777343 17 73466.6056
16777343 17 73293.1484
16777343 17 73120.5000
16777343 17 72948.6548
16777343 17 72777.6072
16777343 17 72607.3518
16777343 17 72437.8832
16777343 17 72269.1960
16777343 17 72101.2849
16777343 17 71934.1446
16777343 17 71767.7699
16777343 17 71602.1555
16777343 17 71437.2964
16777343 17 71273.1874
16777343 17 71109.8236
16777343 17 70947.1998
16777343 17 70785.3112
16777343 17 70624.1528
16777343 17 70463.7197
16777343 17 70304.0072
16777343 17 70145.0103
16777343 17 69986.7245
16777343 17 69829.1449
16777343 17 69672.2670
16777343 17 69516.0860
16777343 17 69360.5975
16777343 17 69205.7968
16777343 17 69051.6794
16777343 17 68898.2410
16777343 17 68745.4770
16777343 17 68593.3831
16777343 17 68441.9549
16777343 17 68291.1880
16777343 17 68141.0784
16777343 17 67991.6215
16777343 17 67842.8134
16777343 17 67694.6498
16777343 17 67547.1265
16777343 17 67400.2395
16777343 17 67253.9847
16777343 17 67108.3580
16777343 17 66963.3555
16777343 17 66818.9732
16777343 17 66675.2072
16777343 17 66532.0536
16777343 17 66389.5084
16777343 17 66247.5680
16777343 17 66106.2284
16777343 17 65965.4859
16777343 17 65825.3367
16777343 17 65685.7772
16777343 17 65546.8037
16777343 17 65408.4124
16777343 17 65270.5999
16777343 17 65133.3625
16777343 17 64996.6966
16777343 17 64860.5988
16777343 17 64725.0655
16777343 17 64590.0932
16777343 17 64455.6785
16777343 17 64321.8180
16777343 17 64188.5083
16777343 17 64055.7460
16777343 17 63923.5278
16777343 17 63791.8504
16777343 17 63660.7104
16777343 17 63530.1047
16777343 17 63400.0301
16777343 17 63270.4832
16777343 17 63141.4610
16777343 17 63012.9602
16777343 17 62884.9778
16777343 17 62757.5106
16777343 17 62630.5556
16777343 17 62504.1097
16777343 17 62378.1699
16777343 17 62252.7331
16777343 17 62127.7964
16777343 17 62003.3568
16777343 17 61879.4114
16777343 17 61755.9573
16777343 17 61632.9916
16777343 17 61510.5113
16777343 17 61388.5138
16777343 17 61266.9960
16777343 17 61145.9553
16777343 17 61025.3888
16777343 17 60905.2939
16777343 17 60785.6676
16777343 17 60666.5074
16777343 17 60547.8106
16777343 17 60429.5743
16777343 17 60311.7961
16777343 17 60194.4733
16777343 17 60077.6032
16777343 17 59961.1832
16777343 17 59845.2108
16777343 17 59729.6834
16777343 17 59614.5985
16777343 17 59499.9535
16777343 17 59385.7460
16777343 17 59271.9735
16777343 17 59158.6335
16777343 17 59045.7236
16777343 17 58933.2413
16777343 17 58821.1842
16777343 17 58709.5500
16777343 17 58598.3362
16777343 17 58487.5405
16777343 17 58377.1607
16777343 17 58267.1943
16777343 17 58157.6390
16777343 17 58048.4926
16777343 17 57939.7528
16777343 17 57831.4174
16777343 17 57723.4840
16777343 17 57615.9506
16777343 17 57508.8148
16777343 17 57402.0745
16777343 17 57295.7276
16777343 17 57189.7718
16777343 17 57084.2050
16777343 17 56979.0252
16777343 17 56874.2301
16777343 17 56769.8178
16777343 17 56665.7860
16777343 17 56562.1328
16777343 17 56458.8562
16777343 17 56355.9540
